Date,S&P North American Technology Sector Index (TR),S&P North American Technology Sector Index,,,,,,,
9/30/09,116.68,199.96,,,,,,,
10/1/09,113.39,194.31,,,,,,,
10/2/09,112.83,193.36,,,,,,,
10/5/09,113.89,195.17,,,,,,,
10/6/09,116.03,198.84,,,,,,,
10/7/09,116.62,199.86,,,,,,,
10/8/09,117.13,200.73,,,,,,,
10/9/09,118.49,203.05,,,,,,,
10/12/09,118.73,203.45,,,,,,,
10/13/09,118.76,203.51,,,,,,,
10/14/09,120.53,206.53,,,,,,,
10/15/09,120.34,206.22,,,,,,,
10/16/09,119.06,204.02,,,,,,,
10/19/09,120.22,206.01,,,,,,,
10/20/09,120.14,205.87,,,,,,,
10/21/09,119.72,205.15,,,,,,,
10/22/09,120.45,206.4,,,,,,,
10/23/09,120.3,206.15,,,,,,,
10/26/09,119.94,205.53,,,,,,,
10/27/09,118.7,203.39,,,,,,,
10/28/09,116.45,199.53,,,,,,,
10/29/09,118.68,203.33,,,,,,,
10/30/09,115.71,198.25,,,,,,,
11/2/09,116.05,198.82,,,,,,,
11/3/09,116.01,198.75,,,,,,,
11/4/09,116.62,199.73,,,,,,,
11/5/09,119.22,204.18,,,,,,,
11/6/09,119.54,204.66,,,,,,,
11/9/09,122.14,209.1,,,,,,,
11/10/09,122.3,209.37,,,,,,,
11/11/09,123.03,210.61,,,,,,,
11/12/09,122.36,209.46,,,,,,,
11/13/09,123.47,211.35,,,,,,,
11/16/09,124.72,213.49,,,,,,,
11/17/09,125.3,214.4,,,,,,,
11/18/09,124.6,213.18,,,,,,,
11/19/09,122.51,209.6,,,,,,,
11/20/09,121.8,208.39,,,,,,,
11/23/09,123.72,211.65,,,,,,,
11/24/09,123.18,210.72,,,,,,,
11/25/09,123.45,211.19,,,,,,,
11/27/09,121.4,207.69,,,,,,,
11/30/09,121.75,208.27,,,,,,,
12/1/09,123.54,211.33,,,,,,,
12/2/09,123.58,211.4,,,,,,,
12/3/09,123.28,210.89,,,,,,,
12/4/09,124.31,212.65,,,,,,,
12/7/09,123.78,211.73,,,,,,,
12/8/09,122.95,210.32,,,,,,,
12/9/09,124,212.11,,,,,,,
12/10/09,124.62,213.16,,,,,,,
12/11/09,124.18,212.41,,,,,,,
12/14/09,125.27,214.25,,,,,,,
12/15/09,124.7,213.27,,,,,,,
12/16/09,125.18,214.09,,,,,,,
12/17/09,123.66,211.5,,,,,,,
12/18/09,125.67,214.93,,,,,,,
12/21/09,127.1,217.38,,,,,,,
12/22/09,127.79,218.55,,,,,,,
12/23/09,128.75,220.19,,,,,,,
12/24/09,129.9,222.16,,,,,,,
12/28/09,130.11,222.52,,,,,,,
12/29/09,129.93,222.2,,,,,,,
12/30/09,130.47,223.12,,,,,,,
12/31/09,129.06,220.72,,,,,,,
1/4/10,130.94,223.93,,,,,,,
1/5/10,130.92,223.9,,,,,,,
1/6/10,129.86,222.09,,,,,,,
1/7/10,129.34,221.2,,,,,,,
1/8/10,130.37,222.96,,,,,,,
1/11/10,129.82,222.01,,,,,,,
1/12/10,128.13,219.12,,,,,,,
1/13/10,129.43,221.36,,,,,,,
1/14/10,130.16,222.58,,,,,,,
1/15/10,128.44,219.64,,,,,,,
1/19/10,130.28,222.79,,,,,,,
1/20/10,128.56,219.84,,,,,,,
1/21/10,127.41,217.88,,,,,,,
1/22/10,122.63,209.7,,,,,,,
1/25/10,123.33,210.9,,,,,,,
1/26/10,123.18,210.65,,,,,,,
1/27/10,124.05,212.14,,,,,,,
1/28/10,120.75,206.47,,,,,,,
1/29/10,118.4,202.45,,,,,,,
2/1/10,120.07,205.3,,,,,,,
2/2/10,121.04,206.96,,,,,,,
2/3/10,121.45,207.58,,,,,,,
2/4/10,117.89,201.49,,,,,,,
2/5/10,119.14,203.62,,,,,,,
2/8/10,118.59,202.62,,,,,,,
2/9/10,119.76,204.62,,,,,,,
2/10/10,119.51,204.18,,,,,,,
2/11/10,121.06,206.81,,,,,,,
2/12/10,121.33,207.28,,,,,,,
2/16/10,123.11,210.24,,,,,,,
2/17/10,123.56,211,,,,,,,
2/18/10,124.66,212.86,,,,,,,
2/19/10,124.59,212.74,,,,,,,
2/22/10,124.23,212.11,,,,,,,
2/23/10,122.46,209.09,,,,,,,
2/24/10,123.83,211.4,,,,,,,
2/25/10,123.47,210.78,,,,,,,
2/26/10,123.53,210.9,,,,,,,
3/1/10,125.55,214.35,,,,,,,
3/2/10,125.55,214.34,,,,,,,
3/3/10,125.61,214.43,,,,,,,
3/4/10,126.21,215.45,,,,,,,
3/5/10,127.93,218.4,,,,,,,
3/8/10,128.47,219.31,,,,,,,
3/9/10,128.9,220.05,,,,,,,
3/10/10,129.99,221.89,,,,,,,
3/11/10,130.54,222.82,,,,,,,
3/12/10,130.48,222.72,,,,,,,
3/15/10,130.11,222.07,,,,,,,
3/16/10,131.05,223.67,,,,,,,
3/17/10,131.64,224.68,,,,,,,
3/18/10,131.85,225.03,,,,,,,
3/19/10,130.64,222.96,,,,,,,
3/22/10,131.69,224.76,,,,,,,
3/23/10,132.89,226.81,,,,,,,
3/24/10,131.94,225.19,,,,,,,
3/25/10,132.35,225.89,,,,,,,
3/26/10,132.22,225.67,,,,,,,
3/29/10,132.37,225.92,,,,,,,
3/30/10,132.96,226.92,,,,,,,
3/31/10,132.17,225.56,,,,,,,
4/1/10,132.08,225.41,,,,,,,
4/5/10,133.7,228.17,,,,,,,
4/6/10,133.94,228.59,,,,,,,
4/7/10,133.65,228.08,,,,,,,
4/8/10,133.64,228.08,,,,,,,
4/9/10,134.7,229.88,,,,,,,
4/12/10,135.22,230.75,,,,,,,
4/13/10,135.67,231.52,,,,,,,
4/14/10,138.12,235.71,,,,,,,
4/15/10,138.75,236.78,,,,,,,
4/16/10,136.78,233.41,,,,,,,
