Date,Close
2009-09-30,199.96
2009-10-01,194.31
2009-10-02,193.36
2009-10-05,195.17
2009-10-06,198.84
2009-10-07,199.86
2009-10-08,200.73
2009-10-09,203.05
2009-10-12,203.45
2009-10-13,203.51
2009-10-14,206.53
2009-10-15,206.22
2009-10-16,204.02
2009-10-19,206.01
2009-10-20,205.87
2009-10-21,205.15
2009-10-22,206.4
2009-10-23,206.15
2009-10-26,205.53
2009-10-27,203.39
2009-10-28,199.53
2009-10-29,203.33
2009-10-30,198.25
2009-11-02,198.82
2009-11-03,198.75
2009-11-04,199.73
2009-11-05,204.18
2009-11-06,204.66
2009-11-09,209.1
2009-11-10,209.37
2009-11-11,210.61
2009-11-12,209.46
2009-11-13,211.35
2009-11-16,213.49
2009-11-17,214.4
2009-11-18,213.18
2009-11-19,209.6
2009-11-20,208.39
2009-11-23,211.65
2009-11-24,210.72
2009-11-25,211.19
2009-11-27,207.69
2009-11-30,208.27
2009-12-01,211.33
2009-12-02,211.4
2009-12-03,210.89
2009-12-04,212.65
2009-12-07,211.73
2009-12-08,210.32
2009-12-09,212.11
2009-12-10,213.16
2009-12-11,212.41
2009-12-14,214.25
2009-12-15,213.27
2009-12-16,214.09
2009-12-17,211.5
2009-12-18,214.93
2009-12-21,217.38
2009-12-22,218.55
2009-12-23,220.19
2009-12-24,222.16
2009-12-28,222.52
2009-12-29,222.2
2009-12-30,223.12
2009-12-31,220.72
2010-01-04,223.93
2010-01-05,223.9
2010-01-06,222.09
2010-01-07,221.2
2010-01-08,222.96
2010-01-11,222.01
2010-01-12,219.12
2010-01-13,221.36
2010-01-14,222.58
2010-01-15,219.64
2010-01-19,222.79
2010-01-20,219.84
2010-01-21,217.88
2010-01-22,209.7
2010-01-25,210.9
2010-01-26,210.65
2010-01-27,212.14
2010-01-28,206.47
2010-01-29,202.45
2010-02-01,205.3
2010-02-02,206.96
2010-02-03,207.58
2010-02-04,201.49
2010-02-05,203.62
2010-02-08,202.62
2010-02-09,204.62
2010-02-10,204.18
2010-02-11,206.81
2010-02-12,207.28
2010-02-16,210.24
2010-02-17,211
2010-02-18,212.86
2010-02-19,212.74
2010-02-22,212.11
2010-02-23,209.09
2010-02-24,211.4
2010-02-25,210.78
2010-02-26,210.9
2010-03-01,214.35
2010-03-02,214.34
2010-03-03,214.43
2010-03-04,215.45
2010-03-05,218.4
2010-03-08,219.31
2010-03-09,220.05
2010-03-10,221.89
2010-03-11,222.82
2010-03-12,222.72
2010-03-15,222.07
2010-03-16,223.67
2010-03-17,224.68
2010-03-18,225.03
2010-03-19,222.96
2010-03-22,224.76
2010-03-23,226.81
2010-03-24,225.19
2010-03-25,225.89
2010-03-26,225.67
2010-03-29,225.92
2010-03-30,226.92
2010-03-31,225.56
2010-04-01,225.41
2010-04-05,228.17
2010-04-06,228.59
2010-04-07,228.08
2010-04-08,228.08
2010-04-09,229.88
2010-04-12,230.75
2010-04-13,231.52
2010-04-14,235.71
2010-04-15,236.78
2010-04-16,233.41
2010-04-19,233.43
2010-04-20,234.92
2010-04-21,235.59
2010-04-22,236.45
2010-04-23,237.31
2010-04-26,237.24
2010-04-27,232.27
2010-04-28,232.48
2010-04-29,234.91
2010-04-30,229.4
2010-05-03,232.6
2010-05-04,225.52
2010-05-05,224.06
2010-05-06,216.75
2010-05-07,211.72
2010-05-10,222.26
